key_word,job_id,job_title,country,job_link,company,company_region,company_industry,company_size,experence_requirement,working_location,description,postedByHR
data scientist,6506212,Data Scientist,SG,https://www.jobstreet.com.sg/en/job/data-scientist-6506212?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6505640,Data Analyst / Scientist - (007Q9),SG,https://www.jobstreet.com.sg/en/job/data-analystscientist-007q9-6505640?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,3624966,"Associate Data Scientist, SAS Global Pre-Sales Academy",MY,https://www.jobstreet.com.sg/en/job/associate-data-scientist-sas-global-pre-sales-academy-3624966/origin/my?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6503082,Lead Data Scientist,SG,https://www.jobstreet.com.sg/en/job/lead-data-scientist-6503082?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6502828,Data Scientist,SG,https://www.jobstreet.com.sg/en/job/data-scientist-6502828?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6464390,"VP / AVP, Data Scientist, Big Data Analytics Group, Data Management Office",SG,https://www.jobstreet.com.sg/en/job/vpavp-data-scientist-big-data-analytics-group-data-management-office-6464390?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6463936,Data Scientist,SG,https://www.jobstreet.com.sg/en/job/data-scientist-6463936?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6463810,Senior Data Scientist (Machine Learning),SG,https://www.jobstreet.com.sg/en/job/senior-data-scientist-machine-learning-6463810?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,3631195,Data Scientist,MY,https://www.jobstreet.com.sg/en/job/data-scientist-3631195/origin/my?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6495419,(Analysis) Data Scientist - (Listed IT MNC / $6K to $8.5K + GD BONUS / 5 Days / West),SG,https://www.jobstreet.com.sg/en/job/analysis-data-scientist-listed-it-mnc6k-to-85k-gd-bonus5-days-west-6495419?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6460693,Data Scientist,SG,https://www.jobstreet.com.sg/en/job/data-scientist-6460693?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6494254,Data Scientist,SG,https://www.jobstreet.com.sg/en/job/data-scientist-6494254?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6492135,(Analysis) Data Scientist - (Listed IT MNC / $6K to $8.5K + GD BONUS / 5 Days / West),SG,https://www.jobstreet.com.sg/en/job/analysis-data-scientist-listed-it-mnc6k-to-85k-gd-bonus5-days-west-6492135?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6491891,Data Scientist,SG,https://www.jobstreet.com.sg/en/job/data-scientist-6491891?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6490844,Data Scientist / Machine learning - Python / R + OO language,SG,https://www.jobstreet.com.sg/en/job/data-scientist-machine-learning-python-r-oo-language-6490844?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6490752,Data Scientist (Consumer Marketing),SG,https://www.jobstreet.com.sg/en/job/data-scientist-consumer-marketing-6490752?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6487086,Lead Data Scientist,SG,https://www.jobstreet.com.sg/en/job/lead-data-scientist-6487086?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6486693,(Analysis) Data Scientist - (Listed IT MNC / $6K to $8.5K + GD BONUS / 5 Days / West),SG,https://www.jobstreet.com.sg/en/job/analysis-data-scientist-listed-it-mnc6k-to-85k-gd-bonus5-days-west-6486693?fr=21&src=16&srcr=12,,,,,,,,False
